Filename	StartTimeStamp	XIC_WideFrac	XIC_FWHM_Q1	XIC_FWHM_Q2	XIC_FWHM_Q3	XIC_Height_Q2	XIC_Height_Q3	XIC_Height_Q4	RT_Duration	RT_TIC_Q1	RT_TIC_Q2	RT_TIC_Q3	RT_TIC_Q4	RT_MS_Q1	RT_MS_Q2	RT_MS_Q3	RT_MS_Q4	RT_MSMS_Q1	RT_MSMS_Q2	RT_MSMS_Q3	RT_MSMS_Q4	MS1_TIC_Change_Q2	MS1_TIC_Change_Q3	MS1_TIC_Change_Q4	MS1_TIC_Q2	MS1_TIC_Q3	MS1_TIC_Q4	MS1_Count	MS1_Freq_Max	MS1_Density_Q1	MS1_Density_Q2	MS1_Density_Q3	MS2_Count	MS2_Freq_Max	MS2_Density_Q1	MS2_Density_Q2	MS2_Density_Q3	MS2_PrecZ_1	MS2_PrecZ_2	MS2_PrecZ_3	MS2_PrecZ_4	MS2_PrecZ_5	MS2_PrecZ_more	MS2_PrecZ_likely_1	MS2_PrecZ_likely_multi
QC_Shew_11_01_pt5_3_2Mar11_Owl_10-10-15	2011-03-02	0.304564	22.312	26.303	36.6488	1.73766	1.85692	5.19105	5969.82	0.437147	0.0736701	0.0841013	0.405082	0.232441	0.225117	0.242471	0.299971	0.23237	0.225072	0.242499	0.300059	1.81382	1.02857	3.09281	2.44492	1.03718	0.368461	997	0.195076	3818	5095	6745	19940	3.92413	122	273	522	0.101505	0.269709	0.284453	0.134303	0.0312939	0.00581745	0.00682046	0.166098
QC_Shew_11_03_pt5_f_11Jul11_Jaguar_11-05-05	2011-07-12	0.265833	16.2233	17.8764	21.0922	0.651811	0.903712	3.33821	5971.84	0.327577	0.19827	0.238111	0.236042	0.259052	0.247501	0.250898	0.242549	0.259029	0.247496	0.250872	0.242603	0.837888	0.689334	2.08834	0.269594	0.137259	0.507893	3038	0.549364	2382.25	2921	7360.5	30380	5.49316	320	499	763	0.115405	0.197959	0.0963134	0.0167544	0.00236998	0.000394997	0.0875247	0.483278
QC_Shew_11_03_pt5_g_11Jul11_Jaguar_11-05-06	2011-07-12	0.289488	18.2762	20.1068	23.6056	0.680489	0.920418	3.3894	5970.45	0.289156	0.168342	0.17777	0.364732	0.253321	0.242324	0.249966	0.25439	0.25333	0.242322	0.249958	0.254391	0.86109	0.63944	1.82887	0.373491	0.266876	0.238047	2949	0.528543	2361	2775	3293	29490	5.31449	360	553	823	0.11648	0.224313	0.126653	0.0229569	0.00376399	0.000644286	0.0898949	0.415293
QC_Shew_11_03_Run-4_25Jul11_Jaguar_11-07-19	2011-07-26	0.281499	21.7117	23.7582	27.3261	0.69397	0.890159	3.07707	5971.29	0.355786	0.165185	0.171929	0.3071	0.269557	0.240639	0.244566	0.245238	0.269559	0.240641	0.244545	0.245255	0.985662	0.645169	1.8748	0.505457	0.174406	0.318545	2881	0.515508	2492	3079	4044	28810	5.15525	346	549	813	0.0938216	0.211732	0.129504	0.0277681	0.00492884	0.000971885	0.074974	0.4563
QC_Shew_11_03_e_1Sep11_Jaguar_11-07-16	2011-09-02	0.285327	3.64487	4.85367	7.78291	0.783261	0.556251	5.33599	5969.83	0.724813	0.0873059	0.068206	0.119675	0.252012	0.249255	0.249685	0.249049	0.252987	0.254031	0.251509	0.241473	0.804242	0.968303	3.86765	0.119511	1.24458	1.96686	2226	0.408669	733	796	1750.25	21379	4.08197	172	283	407	0.0670752	0.00467749	0.00187099	0	0	0.00E+00	0.0422377	0.884139
QC_Shew_11_03_0pt5-08_19Sep11_Jaguar_11-06-30	2011-09-20	0.333615	18.2427	20.1219	23.8557	0.818699	1.02269	3.68409	5970.69	0.348534	0.135659	0.147308	0.3685	0.266408	0.229236	0.235891	0.268466	0.266579	0.229119	0.235869	0.268432	0.966845	0.700952	1.47094	0.56533	0.435073	0.392645	2723	0.508727	2902	3690	4905.5	27223	5.12239	229	370	596	0.103662	0.267201	0.183631	0.0432722	0.00833854	0.00139588	0.0651288	0.32737
QC_Shew_11_03_0pt5-04_7Oct11_Jaguar_11-06-30	2011-10-07	0.248669	12.7707	14.5607	17.2731	0.760465	1.07467	4.81472	5970.15	0.315205	0.14481	0.163022	0.376963	0.257298	0.239011	0.242613	0.261078	0.258652	0.23855	0.242158	0.26064	0.936663	0.718857	1.88831	0.466382	0.364053	0.606226	2899	0.517014	1567.5	2029	2731.5	28934	5.17884	437	665	862	0.069192	0.201977	0.138418	0.0270961	0.00394	0.000587544	0.0740306	0.484758
QC_Shew_11_03_pt5-c_9Oct11_Jaguar_11-06-28	2011-10-10	0.280327	13.684	15.2899	17.7815	0.762664	1.10748	4.72421	5970.46	0.396197	0.134194	0.154171	0.315438	0.279202	0.232704	0.236524	0.25157	0.281729	0.231677	0.235819	0.250775	1.04662	0.747778	1.84346	0.751074	0.405033	0.539669	2786	0.513439	1389	1778	2293	27764	5.14967	409	661	864	0.0862628	0.218304	0.137948	0.0315156	0.00511454	0.000792393	0.0896485	0.430413
QC_Shew_11_03_Run-02_11Oct11_Tiger_11-02-43	2011-10-11	0.27062	18.7928	21.3904	25.6593	0.902845	1.02914	3.72118	5944.56	0.268848	0.0948749	0.197141	0.439137	0.137154	0.255677	0.244434	0.362735	0.270402	0.189271	0.21079	0.329536	1.75121	1.16292	2.27444	0.858218	0.956621	2.07768	1331	0.914388	1049.5	2200	3667.5	11348	3.19989	112	185	390	0.0974621	0.351251	0.281724	0.0743743	0.0100458	0.0016743	0.0252027	0.158266
QC_Shew_11_03_pt5_3_12Oct11__11-06-28	2011-10-12	0.321494	15.8409	17.3975	20.2294	0.840448	1.17698	4.11215	5971.37	0.387091	0.184692	0.145679	0.282539	0.255645	0.241652	0.247795	0.254908	0.25587	0.241539	0.247773	0.254817	1.13618	0.829719	3.86645	1.17655	0.437206	0.344248	2991	0.5298	1689.5	2257	2920.5	29901	5.31432	330	545	727	0.10615	0.248386	0.15354	0.0313702	0.00535099	0.000936424	0.0658172	0.388449
