Filename	StartTimeStamp	XIC_WideFrac	XIC_FWHM_Q1	XIC_FWHM_Q2	XIC_FWHM_Q3	XIC_Height_Q2	XIC_Height_Q3	XIC_Height_Q4	RT_Duration	RT_TIC_Q1	RT_TIC_Q2	RT_TIC_Q3	RT_TIC_Q4	RT_MS_Q1	RT_MS_Q2	RT_MS_Q3	RT_MS_Q4	RT_MSMS_Q1	RT_MSMS_Q2	RT_MSMS_Q3	RT_MSMS_Q4	MS1_TIC_Change_Q2	MS1_TIC_Change_Q3	MS1_TIC_Change_Q4	MS1_TIC_Q2	MS1_TIC_Q3	MS1_TIC_Q4	MS1_Count	MS1_Freq_Max	MS1_Density_Q1	MS1_Density_Q2	MS1_Density_Q3	MS2_Count	MS2_Freq_Max	MS2_Density_Q1	MS2_Density_Q2	MS2_Density_Q3	MS2_PrecZ_1	MS2_PrecZ_2	MS2_PrecZ_3	MS2_PrecZ_4	MS2_PrecZ_5	MS2_PrecZ_more	MS2_PrecZ_likely_1	MS2_PrecZ_likely_multi
QC_Shew_11_06_5pt_a_4Jan12_Jaguar_11-09-17	2012-01-04	0.321551	21.0987	22.926	25.7339	0.693924	1.06815	3.20821	5969.86	0.358975	0.163268	0.164744	0.313013	0.257045	0.234559	0.245099	0.263297	0.259741	0.235149	0.244317	0.260793	1.34198	0.837433	2.70278	0.764025	0.261909	0.483837	2750	0.505911	2172.25	2977.5	3893.5	16296	3.02697	542	724	890	0.11917	0.257057	0.210665	0.0717968	0.0160776	0.00460236	0.0349779	0.285653
QC_Shew_11_06_5pt_b_4Jan12_Jaguar_11-09-18	2012-01-04	0.330639	19.5099	21.1937	24.03	0.699903	1.06559	3.30496	5970.88	0.363243	0.16386	0.164742	0.308156	0.256549	0.234191	0.245185	0.264075	0.259726	0.234375	0.244461	0.261438	1.37639	0.843293	2.65222	0.732465	0.294353	0.442843	2760	0.507344	2199.75	2980.5	3851.25	16332	3.0081	536	714	885	0.12748	0.261205	0.209772	0.071761	0.016287	0.00489836	0.0150625	0.293534
QC_Shew_11_06_5pt_c_4Jan12_Jaguar_11-09-17-lookslikeblank	2012-01-04	0.252357	23.1697	25.7564	30.4824	1.249	1.04268	4.46673	5971.69	0.727709	0.0970472	0.0549911	0.120253	0.253699	0.264331	0.249047	0.232924	0.256002	0.286911	0.235597	0.22149	1.805	1.68331	2.87452	1.64742	1.96706	1.54513	2115	0.426014	1019.5	2382	4049.5	12090	2.53859	101	254	588	0.162117	0.0950372	0.22316	0.0943755	0.017866	0.00479735	0.0540943	0.348553
QC_Shew_11_06_5pt_d_4Jan12_Jaguar_11-09-18-lookslikeblank	2012-01-04	0.270095	21.7182	24.2489	29.665	1.35515	1.06171	4.61725	5970.69	0.711172	0.105316	0.0584644	0.125048	0.258192	0.26409	0.243381	0.234336	0.272763	0.266532	0.234382	0.226323	2.15497	1.54237	2.79484	2.28316	1.30335	1.77741	2133	0.414459	1217	2511	4378	12366	2.45112	152.25	365	649	0.10262	0.142326	0.253922	0.102944	0.0216723	0.00663109	0.0474689	0.322416
QC_Shew_11_06_5pt_f_4Jan12_Jaguar_11-09-18-lookslikeblank	2012-01-05	0.228327	23.8235	27.2171	35.0994	1.14697	0.945329	4.85088	5970.76	0.736652	0.102712	0.0737706	0.0868654	0.253035	0.263912	0.248587	0.234466	0.260994	0.285927	0.23258	0.2205	1.68528	1.64405	3.43735	1.61272	1.79749	1.19496	2106	0.416577	1004.25	2226	4657.25	11904	2.47168	86	207	455	0.138105	0.0928259	0.199933	0.0892977	0.0210013	0.00680444	0.0972782	0.354755
QC_Shew_11_06_5pt_a_5Jan12_Jaguar_11-09-17	2012-01-05	0.331532	21.5181	23.2	26.0766	0.678711	1.19545	3.01349	5971.3	0.331952	0.18029	0.193245	0.294513	0.257727	0.232412	0.245149	0.264712	0.258236	0.233748	0.244814	0.263202	1.0925	0.787855	1.96472	0.659757	0.157039	0.777572	2676	0.502036	2355	3096.5	3851.25	15911	2.96625	501	702	900	0.145811	0.268493	0.183269	0.0592043	0.0116272	0.00370813	0.0327446	0.295142
QC_Shew_11_06_5pt_b_5Jan12_Jaguar_11-09-18	2012-01-05	0.34143	20.7456	22.5656	25.9517	0.667693	1.10657	3.17611	5970.61	0.365172	0.204382	0.156425	0.274021	0.252705	0.234334	0.245106	0.267855	0.266269	0.23096	0.241047	0.261724	1.17759	0.759852	2.45247	0.646782	0.209509	0.841497	2714	0.604892	2344.25	3184	3934	15851	2.98327	499	691	890	0.168822	0.270835	0.188632	0.060564	0.0133115	0.00359599	0.024478	0.269762
QC_Shew_11_06_5pt_c_5Jan12_Jaguar_11-09-17	2012-01-05	0.349512	22.816	24.5839	27.7497	0.706543	1.19106	2.97112	5970.66	0.346133	0.18228	0.171801	0.299786	0.253708	0.233391	0.244947	0.267955	0.258324	0.233151	0.243603	0.264922	1.11779	0.769196	2.7906	0.564348	0.161608	0.640818	2700	0.501518	2365.75	3231.5	4004	15988	2.99848	524	710	905	0.152052	0.276082	0.200338	0.064048	0.0131974	0.00406555	0.0159495	0.274268
QC_Shew_11_06_5pt_d_5Jan12_Jaguar_11-09-18	2012-01-05	0.349077	20.881	22.6168	25.9365	0.67608	1.15493	2.87433	5970.63	0.337297	0.187055	0.186577	0.289071	0.253358	0.233066	0.245588	0.267988	0.258638	0.232717	0.243939	0.264707	1.03591	0.786849	2.67436	0.485271	0.149927	0.796557	2708	0.503235	2379.75	3240	4024.25	15985	2.97878	522	706	906	0.17091	0.275946	0.192118	0.0621207	0.0126368	0.00412887	0.0218955	0.260244
QC_Shew_11_06_5pt_g_5Jan12_Jaguar_11-09-17	2012-01-06	0.348445	22.9699	24.7644	27.9513	0.642992	1.16823	3.09757	5969.79	0.377855	0.191262	0.161461	0.269422	0.25776	0.233508	0.243822	0.26491	0.265662	0.232125	0.241506	0.260707	1.09882	0.76107	2.65212	0.74628	0.184833	0.955264	2672	0.493855	2488.75	3301	4098.25	15727	2.96605	538	728	918	0.167991	0.278502	0.195905	0.0622496	0.0120175	0.00426019	0.0201564	0.258918
QC_Shew_11_06_5pt_h_5Jan12_Jaguar_11-09-18	2012-01-06	0.34936	20.8815	22.7039	25.7565	0.6768	1.12449	3.37243	5970.44	0.395559	0.183162	0.153905	0.267374	0.258342	0.232634	0.24299	0.266034	0.266218	0.231888	0.240361	0.261533	1.13586	0.829147	2.62146	0.826289	0.235342	0.862209	2671	0.489869	2475	3263	4077.5	15703	2.92571	526	716	910	0.175189	0.279819	0.20028	0.0624721	0.0136917	0.00433038	0.0203146	0.243902
