Filename	StartTimeStamp	XIC-WideFrac	XIC-FWHM-Q1	XIC-FWHM-Q2	XIC-FWHM-Q3	XIC-Height-Q2	XIC-Height-Q3	XIC-Height-Q4	RT-Duration	RT-TIC-Q1	RT-TIC-Q2	RT-TIC-Q3	RT-TIC-Q4	RT-MS-Q1	RT-MS-Q2	RT-MS-Q3	RT-MS-Q4	RT-MSMS-Q1	RT-MSMS-Q2	RT-MSMS-Q3	RT-MSMS-Q4	MS1-TIC-Change-Q2	MS1-TIC-Change-Q3	MS1-TIC-Change-Q4	MS1-TIC-Q2	MS1-TIC-Q3	MS1-TIC-Q4	MS1-Count	MS1-Freq-Max	MS1-Density-Q1	MS1-Density-Q2	MS1-Density-Q3	MS2-Count	MS2-Freq-Max	MS2-Density-Q1	MS2-Density-Q2	MS2-Density-Q3	MS2-PrecZ-1	MS2-PrecZ-2	MS2-PrecZ-3	MS2-PrecZ-4	MS2-PrecZ-5	MS2-PrecZ-more	MS2-PrecZ-likely-1	MS2-PrecZ-likely-multi
TCGA-A6-3807-01A-22_W_VU_20121019_A0218_4I_R_FR01	2012-10-19T13:20:12Z	0.32	17.0377	18.8819	22.8327	0.961826	0.848883	4.57291	4799.91	0.296527	0.0670799	0.115536	0.520857	0.255661	0.323098	0.262881	0.158359	0.220063	0.134188	0.139744	0.506004	1.05056	1.79249	4.99939	0.47887	2.37876	3.4072	3143	1.07185	1364.5	2438	3294	10875	4.77737	508	669	870	0	0.615264	0.316046	0.0623448	0.00606897	0.000275862	0	0
TCGA-A6-3807-01A-22_W_VU_20121019_A0218_4I_R_FR02	2012-10-19T14:58:24Z	0.315886	17.8314	19.863	24.0502	0.984813	0.853348	4.53617	4799.62	0.312978	0.0720459	0.107538	0.507438	0.259509	0.297654	0.27805	0.164787	0.22536	0.133708	0.135186	0.505747	1.08437	2.17665	5.38606	0.461944	2.74623	3.93393	3144	1.06875	1770	2660.5	3425	11463	5.01614	555.5	716	878	0	0.587281	0.326442	0.074675	0.0111664	0.000436186	0	0
TCGA-A6-3807-01A-22_W_VU_20121019_A0218_4I_R_FR03	2012-10-19T16:36:36Z	0.323987	17.0346	18.8182	22.7556	0.88654	0.936763	3.712	4799.52	0.262745	0.0825696	0.0679547	0.586731	0.25392	0.309298	0.26691	0.169872	0.213902	0.137715	0.139303	0.50908	1.21319	1.71234	3.40855	0.712097	2.59894	1.84582	3083	1.05797	1588.5	2695	3285.5	11056	4.6483	546	714	873	0	0.61686	0.314219	0.0599674	0.00786903	0.00108538	0	0
TCGA-A6-3807-01A-22_W_VU_20121019_A0218_4I_R_FR04	2012-10-19T18:14:48Z	0.327052	17.3202	19.212	22.7964	0.890488	0.881483	3.99179	4799.18	0.245966	0.0919473	0.0559868	0.6061	0.26006	0.313644	0.260926	0.16537	0.210871	0.136494	0.137047	0.515588	1.14732	2.02441	3.69837	0.710735	2.62197	2.14463	3120	1.05364	1386.5	2641.5	3185.25	10772	4.61123	521	710	872	0	0.59534	0.338749	0.057928	0.00686966	0.001114	0	0
TCGA-A6-3807-01A-22_W_VU_20121019_A0218_4I_R_FR05	2012-10-19T19:53:00Z	0.323352	17.91	19.8549	23.4016	0.927276	0.92499	4.00032	4799.1	0.275287	0.0837662	0.0383319	0.602615	0.233052	0.329258	0.270327	0.167363	0.227164	0.133268	0.133165	0.506402	1.12983	1.81555	3.89275	0.587567	2.71266	2.51482	3160	1.06034	1351.75	2369.5	3259.25	10286	4.68162	510	717	884	0	0.577581	0.329574	0.0771923	0.0143885	0.00126385	0	0
TCGA-A6-3807-01A-22_W_VU_20121019_A0218_4I_R_FR06	2012-10-19T21:31:13Z	0.312118	17.7591	20.0076	23.7823	0.762	0.888351	4.35122	4799.95	0.189424	0.132441	0.0789345	0.5992	0.241258	0.317636	0.274776	0.166329	0.208835	0.143149	0.140218	0.507799	1.17046	1.77962	3.55468	0.785519	2.79809	2.08298	3076	1.05443	1542	2618	3319.25	10967	4.56391	521	701	891	0	0.622048	0.324884	0.0455001	0.00692988	0.000638278	0	0
TCGA-A6-3807-01A-22_W_VU_20121019_A0218_4I_R_FR07	2012-10-19T23:09:25Z	0.314693	17.7013	19.6847	23.6317	0.758337	0.824952	3.64707	4800.7	0.184481	0.0896861	0.115871	0.609961	0.251524	0.315998	0.261649	0.170829	0.199224	0.137046	0.138355	0.525374	1.04952	1.60695	3.78766	0.829003	2.64048	2.18028	3147	1.06107	1570	2707	3255.5	10461	4.47603	503	692	878	0	0.644871	0.302074	0.0477966	0.00430169	0.000955932	0	0
TCGA-A6-3807-01A-22_W_VU_20121019_A0218_4I_R_FR08	2012-10-20T00:47:37Z	0.32347	17.4906	19.2262	22.3796	0.769695	0.895582	4.00138	4799.56	0.214971	0.116131	0.0927346	0.576163	0.237575	0.314769	0.275759	0.171897	0.209776	0.137576	0.133437	0.519212	1.14813	1.57724	3.67745	0.84168	2.57598	2.19699	3129	1.047	1568	2642	3259	10341	4.39228	497	682	863	0	0.637559	0.285659	0.0691422	0.00667247	0.000967024	0	0
TCGA-A6-3807-01A-22_W_VU_20121019_A0218_4I_R_FR09	2012-10-20T02:25:49Z	0.319412	17.6251	19.5342	23.2274	0.898134	0.897362	4.08595	4799.48	0.232078	0.113787	0.0679141	0.586221	0.237054	0.308198	0.282889	0.171859	0.215852	0.140687	0.137474	0.505987	1.1525	1.99359	3.58915	0.920392	3.07476	2.17375	3058	1.04976	1510.25	2663.5	3342.75	11086	4.53087	511	690	883	0	0.630705	0.307415	0.0571892	0.00387877	0.000811835	0	0
TCGA-A6-3807-01A-22_W_VU_20121019_A0218_4I_R_FR10	2012-10-20T04:04:01Z	0.309158	17.8299	19.7206	23.3835	0.725422	0.834396	4.43549	4799.07	0.235876	0.122905	0.0652584	0.57596	0.219734	0.323695	0.276662	0.17991	0.221925	0.130851	0.128598	0.518626	1.22435	1.63938	4.62658	0.880263	2.87999	2.33199	3232	1.07458	1444	2527.5	3278	10286	4.46439	524	715	905	0	0.655162	0.280673	0.0563873	0.00709703	0.000680537	0	0
TCGA-A6-3807-01A-22_W_VU_20121020_A0218_4I_R_FR11	2012-10-20T05:42:13Z	0.315149	17.268	19.0806	22.785	0.776822	0.919256	3.17136	4799.13	0.224572	0.0794982	0.113889	0.582041	0.213124	0.328934	0.281297	0.176645	0.22315	0.130697	0.133015	0.513137	1.1155	1.56183	4.15618	0.709802	2.63794	1.79727	3202	1.05094	1594.25	2492.5	3245.25	10192	4.39139	499	696	892	0	0.649529	0.300039	0.0461146	0.0036303	0.000686813	0	0
TCGA-A6-3807-01A-22_W_VU_20121020_A0218_4I_R_FR12	2012-10-20T07:20:25Z	0.313067	17.5219	19.3654	23.2095	0.764037	0.91243	4.74977	4799.05	0.195218	0.0638403	0.126053	0.614889	0.225982	0.329518	0.260889	0.18361	0.215303	0.119781	0.129034	0.535882	1.09411	1.35553	3.88839	0.811012	2.11436	3.00308	3344	1.07953	1672	2443.5	3080.25	9375	4.42941	514	714	896.5	0	0.672	0.278933	0.0402133	0.00757333	0.00128	0	0
TCGA-A6-3807-01A-22_W_VU_20121020_A0218_4I_R_FR13	2012-10-20T08:58:37Z	0.307684	16.7885	18.4514	21.8372	0.835148	0.859516	5.03274	4799.6	0.195233	0.073103	0.104399	0.627265	0.237825	0.321196	0.257752	0.183227	0.212711	0.117919	0.12926	0.54011	1.14777	1.53359	4.92993	0.916093	2.47312	3.07135	3348	1.13348	1581.75	2554	3125	9708	4.64854	511	711	905.25	0	0.663988	0.28595	0.039143	0.00999176	0.00092707	0	0
TCGA-A6-3807-01A-22_W_VU_20121020_A0218_4I_R_FR14	2012-10-20T10:36:49Z	0.31563	17.3386	19.1459	22.3461	0.756924	0.952347	3.94827	4799.57	0.25245	0.0472569	0.113807	0.586485	0.251981	0.315135	0.251769	0.181114	0.205308	0.119247	0.127632	0.547814	1.04765	1.35641	4.40145	0.918872	2.07453	2.93215	3340	1.09643	1603.75	2535.5	3101	9245	4.39694	516	710	906	0	0.723094	0.245646	0.024662	0.00594916	0.000648999	0	0
TCGA-A6-3807-01A-22_W_VU_20121020_A0218_4I_R_FR15	2012-10-20T12:15:01Z	0.314085	17.2484	19.2316	22.8684	0.908658	0.953257	4.9236	4799.35	0.260453	0.0738308	0.0612684	0.604447	0.265139	0.306786	0.257756	0.170319	0.206249	0.13154	0.140268	0.521943	1.1245	1.86071	4.44535	0.929872	2.86036	2.86855	3087	1.05123	1444.5	2643	3212	10962	4.66592	510.25	691	900	0	0.661741	0.289728	0.042328	0.00574713	0.000456121	0	0
TCGA-A6-3808-01A-22_W_VU_20121205_A0218_7D_R_FR01	2012-12-06T05:02:14Z	0.294325	14.6357	16.3808	19.4449	1.16496	1.08263	4.24949	4799.74	0.295236	0.0523508	0.0694138	0.583	0.19419	0.318751	0.312193	0.174866	0.285035	0.11545	0.129135	0.470379	0.847402	1.72027	5.4807	0.131593	1.69847	3.9951	3528	1.07551	2411.75	2570	2797.5	10203	4.91545	485	753	965	0	0.64383	0.3005	0.0513574	0.00352837	0.000784083	0	0
TCGA-A6-3808-01A-22_W_VU_20121206_A0218_7D_R_FR02	2012-12-06T06:40:26Z	0.307224	14.1742	15.9832	19.4916	1.12232	1.1642	4.3606	4800.33	0.267491	0.0722446	0.0586285	0.601636	0.244266	0.313155	0.271398	0.171181	0.240055	0.133361	0.143045	0.483539	0.967085	2.45512	4.54265	0.168169	2.74908	2.99703	3277	1.09481	2189	2414	2977	11835	5.06462	575	764	943	0	0.635826	0.292522	0.0632024	0.00802704	0.000422476	0	0
TCGA-A6-3808-01A-22_W_VU_20121206_A0218_7D_R_FR03	2012-12-06T08:18:39Z	0.305494	14.3665	16.3333	19.5157	1.03696	1.12968	4.66619	4799.1	0.164365	0.157908	0.0726851	0.605042	0.227978	0.308756	0.285289	0.177977	0.238049	0.143432	0.147705	0.470815	0.990527	2.61955	3.8078	0.291845	2.73832	2.82366	3216	1.09211	2175	2431.5	3008.25	12213	4.94236	559	775	983	0	0.586506	0.35585	0.0529763	0.004094	0.00057316	0	0
TCGA-A6-3808-01A-22_W_VU_20121206_A0218_7D_R_FR04	2012-12-06T09:56:51Z	0.316044	14.4433	16.4245	19.4736	0.861701	1.07575	5.42624	4799.67	0.157051	0.0858538	0.155319	0.601776	0.219361	0.330737	0.284543	0.16536	0.231356	0.141469	0.135669	0.491505	1.00279	2.41263	4.2903	0.652643	2.38383	3.4795	3325	1.11647	2077	2292	3058	11375	4.92938	595	800	998	0	0.547516	0.379077	0.066989	0.00615385	0.000263736	0	0
TCGA-A6-3808-01A-22_W_VU_20121206_A0218_7D_R_FR05	2012-12-06T11:35:03Z	0.314208	15.0988	17.2347	21.0958	0.965155	1.14006	4.48085	4799.94	0.166919	0.162074	0.0694208	0.601587	0.225297	0.329182	0.279991	0.16553	0.228212	0.1403	0.135427	0.496061	0.895407	2.53464	3.91401	0.420551	2.95782	2.27632	3316	1.0739	2216	2417	3097	11381	4.84721	604	814	1017	0	0.577893	0.325982	0.0855812	0.00992883	0.00061506	0	0
TCGA-A6-3808-01A-22_W_VU_20121206_A0218_7D_R_FR06	2012-12-06T13:13:15Z	0.318281	15.1004	17.1366	21.031	0.976268	1.12049	5.10252	4799.64	0.188147	0.0226684	0.159629	0.629555	0.22455	0.325673	0.283654	0.166122	0.227146	0.13879	0.134731	0.499333	0.950787	2.76437	4.0961	0.322691	3.10873	3.01477	3326	1.06322	2170	2354	3095.75	11427	4.99336	612	813	1015	0	0.569003	0.352849	0.0676468	0.00953881	0.000962632	0	0
TCGA-A6-3808-01A-22_W_VU_20121206_A0218_7D_R_FR07	2012-12-06T14:51:27Z	0.306811	15.7979	18.2476	22.1138	1.10298	1.38338	5.15941	4799.2	0.18293	0.0303029	0.0782889	0.708478	0.225284	0.321206	0.288955	0.164555	0.227093	0.140505	0.142664	0.489737	1.0573	2.77988	4.27547	0.196779	3.336	3.08234	3301	1.05645	2214	2400	3081	11877	5.1024	574	784	997	0	0.599899	0.346552	0.0488339	0.0045466	0.000168393	0	0
TCGA-A6-3808-01A-22_W_VU_20121206_A0218_7D_R_FR08	2012-12-06T16:29:39Z	0.323595	14.7394	16.6386	19.7935	0.990498	1.16413	5.02003	4799.89	0.227218	0.0486338	0.178706	0.545442	0.227218	0.322618	0.282698	0.167466	0.232533	0.132458	0.133342	0.501667	1.01414	2.8447	5.03171	0.216853	3.34042	3.34706	3349	1.07141	2288	2474	3085	11261	4.99343	589	778	974	0	0.573217	0.315958	0.0976823	0.0125211	0.000621614	0	0
TCGA-A6-3808-01A-22_W_VU_20121206_A0218_7D_R_FR09	2012-12-06T18:07:51Z	0.295435	16.0794	18.6752	23.3197	0.94125	1.37796	4.68212	4799.87	0.21647	0.0353032	0.106151	0.642076	0.231892	0.314771	0.284091	0.169246	0.230614	0.129853	0.13617	0.503364	0.976354	3.1248	4.51221	0.18893	3.52186	3.02811	3358	1.04973	2157	2332.5	3010	11566	5.14414	580	783	985	0	0.591734	0.340394	0.0638942	0.00380425	0.000172921	0	0
TCGA-A6-3808-01A-22_W_VU_20121206_A0218_7D_R_FR10	2012-12-06T19:46:04Z	0.320621	14.1988	16.0236	19.3497	0.95611	1.06277	4.94001	4799.63	0.233078	0.0410702	0.110552	0.6153	0.229579	0.337863	0.264469	0.168089	0.231098	0.123901	0.139238	0.505762	1.00635	2.47909	3.92544	0.186534	2.90413	2.77543	3345	1.0517	2177	2366	3030	10698	4.94363	593	792	992	0	0.59198	0.328379	0.0704805	0.00794541	0.00121518	0	0
TCGA-A6-3808-01A-22_W_VU_20121206_A0218_7D_R_FR11	2012-12-06T21:24:16Z	0.312925	14.6677	16.6214	20.2688	1.1288	1.23722	4.60559	4799.76	0.241809	0.0328832	0.0523911	0.672917	0.218017	0.338906	0.272777	0.170301	0.250954	0.119117	0.134467	0.495462	0.994369	2.18231	4.27101	0.124201	2.75144	3.09394	3375	1.04905	2164	2349	2981	10143	4.94477	589	801	1019.5	0	0.602189	0.32939	0.0592527	0.00808439	0.00108449	0	0
TCGA-A6-3808-01A-22_W_VU_20121206_A0218_7D_R_FR12	2012-12-06T23:02:28Z	0.304477	14.858	17.3581	20.8735	1.1983	1.27864	4.94932	4801	0.248931	0.037047	0.0373542	0.676668	0.215794	0.326541	0.286966	0.170699	0.247373	0.118824	0.138688	0.495115	1.02828	2.49027	4.54802	0.160963	3.04664	3.19542	3398	1.05259	2132.25	2334	2884.75	10766	5.04569	562	769.5	989	0	0.628924	0.305592	0.058982	0.00575887	0.00074308	0	0
TCGA-A6-3808-01A-22_W_VU_20121206_A0218_7D_R_FR13	2012-12-07T00:40:40Z	0.298122	14.9158	17.0264	20.4104	0.984163	1.23037	4.44545	4799.98	0.25587	0.0370652	0.0492829	0.657782	0.221563	0.313499	0.286174	0.178765	0.245218	0.1279	0.147069	0.479813	1.01775	2.76139	3.88634	0.180339	3.15842	2.82413	3258	1.05234	2181.25	2406.5	2976	11502	4.99889	535	749	972	0	0.597461	0.334898	0.0612067	0.00599896	0.000434707	0	0
TCGA-A6-3808-01A-22_W_VU_20121206_A0218_7D_R_FR14	2012-12-07T02:18:50Z	0.304888	15.2612	17.3454	21.2766	1.16666	1.20526	5.29663	4800.66	0.280496	0.0265952	0.0647874	0.628121	0.235353	0.321939	0.27646	0.166248	0.239336	0.121507	0.139525	0.499632	0.970139	2.39461	5.40568	0.156918	2.92855	3.8226	3308	1.06514	2226	2422.5	3010.25	10945	5.00676	558	751	958	0	0.560895	0.378529	0.0550937	0.00511649	0.000365464	0	0
